Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014]
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.668,3.728,5.116,6.456,5.159,5.3,5.592,5.711,6.055,6.078
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.1,97,97,94.7,93.6,90,86.5,86.5,84.6,84
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,83.2,83.3,83.2,82.9,82.7487804878049,82.5,82.4487804878049,82.4,82.3
Australia,AUS,Population growth (annual %),SP.POP.GROW,2.4474661688131,1.27269881377618,0.14089508329287,1.23342825131378,1.47749071058438,1.49599671041328,1.64682779735017,1.56194049810399,1.43921665259925,1.49156648912847
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,58.0466964106785,70.0109117652417,69.3215748590956,60.2260851971351,54.5030658860126,53.3164358193161,54.6779869160885,46.4820384628409,41.7223304965257
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,106171667873321,101770911729948,97848299706454.9,85763013427793,88149850742946,86884839554431.6,81712043350515.5,76702553625899.1,75472473882835,80020337644636.2
World,WLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.63566880551913,7.93092925430087,3.4754032028988,1.9056635869553,2.21677593359912,2.43873655522937,2.25427651934813,1.60553917414213,1.44385719270808,2.35449052820358
World,WLD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.91657221632923,5.26071088886287,6.06444597897447,6.60880501698705,5.59893079520961,5.76898308254956,5.90723141254145,5.97827384301346,6.00655926883703,5.96595956419962
World,WLD,Individuals using the Internet (% of population),IT.NET.USER.ZS,65.4,63.7,61.7,58.6,52.9,48.5,45.2,42.8,39.8,37.4
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,71.9487167371408,71.2806116781408,72.1974597958651,72.9310338256441,72.7351157908109,72.4954123911282,72.2979064227925,72.0470869141673,71.8331454614497
World,WLD,Population growth (annual %),SP.POP.GROW,0.899807857183859,0.868521303064256,0.827958342423059,1.01900314865051,1.0445945731532,1.0819551802425,1.13687922861507,1.16981715807893,1.19066977948263,1.21943727013094
World,WLD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
World,WLD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,87.3560028076172,87.1553268432617,86.9275131225586,86.7474517822266,86.5479125976562,86.4374771118164,86.177001953125,86.0001068115234,85.6788787841797,85.2863922119141
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 03/24/2025,,,,,,,,,,,,,
